SampleID	GroupID	IsoID	Norm_GFP_I	Norm_tdTom_I	Group	UniqueID
Co_P1_Ep_Neg_6	NSC (i)	3c	0.529564174	0.445511293	1	1_CS38_3c
Co_P1_Ep_Neg_36	NSC (i)	5c	0.54147801	0.474697556	1	1_D7-CS24_5c
Co_P1_Ep_Neg_35	NSC (i)	5c	0.551333144	1.220695562	1	1_B3-CS7_5c
Co_P1_Ep_Neg_0	NSC (i)	3c	0.555909707	0.532631299	1	1_CS81_3c
Co_P1_Ep_Neg_45	NSC (i)	5c	0.601594327	1.074562563	1	1_A5-CS50_5c
Co_P1_Ep_Neg_5	NSC (i)	3c	0.685299761	0.482975869	1	1_CS47_3c
Co_P1_Ep_Neg_44	NSC (i)	5c	0.687949937	1.559273516	1	1_F3-CS33_5c
Co_P1_Ep_Neg_16	NSC (i)	3c	0.694271142	0.643835675	1	1_CS56_3c
Co_P1_Ep_Neg_47	NSC (i)	5c	0.756874279	1.37840655	1	1_F10-CS84_5c
Co_P1_Ep_Neg_49	NSC (i)	5c	0.979477115	1.137459207	1	1_B12-CS60_5c
Co_P1_Ep_Neg_42	NSC (i)	5c	0.985328601	1.486363476	1	1_C9-CS16_5c
Co_P1_Ep_Neg_52	NSC (i)	5c	1.127735285	0.767589391	1	1_D10-CS70_5c
Co_P1_Ep_Neg_37	NSC (i)	5c	1.238174378	1.443806542	1	1_A1-CS3_5c
Co_P1_Ep_Neg_28	NSC (i)	3c	2.091279376	0.750579982	1	1_A10-CS45_3c
Co_P1_Ep_Neg_24	NSC (i)	3c	2.586600674	0.391098456	1	1_G01-CS60_3c
Co_P1_Ep_Neg_23	NSC (i)	3c	2.747074667	0.227760834	1	1_B09-CS87_3c
Co_P1_Ep_Neg_31	NSC (i)	3c	4.279222219	0.552949389	1	1_D03-CS78_3c
Co_P1_Ep_GFP_3	NSC (i)	3c	5.052972212	0.670100523	1	1_CS15_3c
Co_P1_Ep_GFP_6	NSC (i)	3c	5.523716982	0.629167005	1	1_CS69_3c
Co_P1_Ep_GFP_16	NSC (i)	3c	9.898844524	0.580403589	1	1_CS65_3c
Co_P1_Ep_GFP_14	NSC (i)	3c	15.60262091	0.43599648	1	1_CS2_3c
Co_P1_Ep_GFP_15	NSC (i)	3c	51.21312652	0.485057234	1	1_CS92_3c
Co_P1_Ep_GFP_30	NSC (i)	5c	56.16360705	1.358379757	1	1_G5-CS86_5c
Co_P1_Ep_GFP_21	NSC (i)	3c	72.50214966	0.720251516	1	1_B05-CS41_3c
Co_P1_Ep_GFP_5	NSC (i)	3c	92.7381096	0.538478944	1	1_CS84_3c
Co_P1_Ep_GFP_33	NSC (i)	5c	237.2648111	1.139962556	1	1_F4-CS81_5c
Co_P1_Ep_GFP_29	NSC (i)	5c	320.2981326	2.255517459	1	1_E10-CS78_5c
Co_P1_Ep_GFP_19	NSC (i)	3c	355.8631447	0.569104748	1	1_E04-CS22_3c
Co_P1_Ep_GFP_7	NSC (i)	3c	484.035049	0.870605383	1	1_CS61_3c
Co_P1_Ep_GFP_32	NSC (i)	5c	592.9426894	0.745372168	1	1_B11-CS59_5c
Co_P1_Ep_GFP_1	NSC (i)	3c	902.7947746	1.073488946	1	1_CS73_3c
Co_P1_Ep_GFP_27	NSC (i)	5c	999.9276264	1.372461096	1	1_B10-CS58_5c
Co_P1_Ep_Neg_4	NSC (ii)	3c	0.18410284	0.304672239	2	1_CS8_3c
Co_P1_Ep_Neg_29	NSC (ii)	3c	0.260928184	0.398829242	2	1_B06-CS40_3c
Co_P1_Ep_Neg_34	NSC (ii)	5c	0.286907584	2.172594023	2	1_H4-CS93_5c
Co_P1_Ep_Neg_25	NSC (ii)	3c	0.30464787	0.345407532	2	1_G07-CS57_3c
Co_P1_Ep_Neg_40	NSC (ii)	5c	0.318751985	1.689134746	2	1_B7-CS12_5c
Co_P1_Ep_Neg_22	NSC (ii)	3c	0.392150421	0.320827598	2	1_B08-CS86_3c
Co_P1_Ep_Neg_8	NSC (ii)	3c	0.429109982	0.764951314	2	1_CS1_3c
Co_P1_Ep_Neg_19	NSC (ii)	3c	0.455834588	0.827491387	2	1_CS4_3c
Co_P1_Ep_Neg_15	NSC (ii)	3c	0.466701331	0.607362225	2	1_CS12_3c
Co_P1_Ep_Neg_46	NSC (ii)	5c	0.490724071	1.067052516	2	1_C8-CS17_5c
Co_P1_Ep_Neg_26	NSC (ii)	3c	0.58781497	0.510529181	2	1_H03-CS52_3c
Co_P1_Ep_Neg_18	NSC (ii)	3c	0.592553375	0.540659422	2	1_CS11_3c
Co_P1_Ep_Neg_43	NSC (ii)	5c	0.63091335	0.518193245	2	1_E5-CS74_5c
Co_P1_Ep_Neg_30	NSC (ii)	3c	0.649540596	0.33143265	2	1_C10-CS33_3c
Co_P1_Ep_Neg_38	NSC (ii)	5c	0.749790902	0.874294642	2	1_A3-CS1_5c
Co_P1_Ep_Neg_53	NSC (ii)	5c	0.80590357	1.60151753	2	1_D3-CS19_5c
Co_P1_Ep_Neg_32	NSC (ii)	3c	1.124644699	0.765347765	2	1_E02-CS71_3c
Co_P1_Ep_Neg_39	NSC (ii)	5c	1.184648683	1.080195099	2	1_A7-CS6_5c
Co_P1_Ep_Neg_27	NSC (ii)	3c	1.379318188	0.407650266	2	1_A03-CS96_3c
Co_P1_Ep_Neg_41	NSC (ii)	5c	1.91128002	0.901518563	2	1_C2-CS14_5c
Co_P1_Ep_Neg_20	NSC (ii)	3c	2.025004881	0.370582141	2	1_CS3_3c
Co_P1_Ep_Neg_1	NSC (ii)	3c	2.157490692	1.15753646	2	1_CS75_3c
Co_P1_Ep_Neg_50	NSC (ii)	5c	2.431015141	1.819934731	2	1_B5-CS56_5c
Co_P1_Ep_Neg_51	NSC (ii)	5c	2.462243596	1.081446773	2	1_C5-CS62_5c
Co_P1_Ep_Neg_3	NSC (ii)	3c	2.557348919	0.334406029	2	1_CS63_3c
Co_P1_Ep_Neg_48	NSC (ii)	5c	2.846224249	0.840812349	2	1_F11-CS83_5c
Co_P1_Ep_GFP_13	NSC (ii)	3c	5.764112077	0.54472304	2	1_CS14_3c
Co_P1_Ep_Neg_54	NSC (ii)	5c	8.777290174	0	2	1_A10-CS52_5c
Co_P1_Ep_GFP_0	NSC (ii)	3c	130.7591368	0.834528384	2	1_CS83_3c
Co_P1_Ep_GFP_24	NSC (ii)	3c	341.5361025	0.72679295	2	1_F04-CS16_3c
